ID	Lat	Wlon	sigma_latlon	Az	Zen	sigma_az	sigma_ze	El
1	-75.81	60.36	0.21	35.5	28.2	7.8	3.7	61.8
2	-75.94	60.79	0.14	340.6	3.1	360	6.1	86.9
3	-76.27	61.91	0.22	236.4	10.3	24.5	4.7	79.7
4	-76.96	65.71	0.12	160.3	11.9	30	6.8	78.1
5	-77.58	68.67	0.15	233.9	33.3	7.1	3.9	56.7
6	-78.49	73.48	0.22	143.3	19.5	36.7	14	70.5
7	-80.25	84.67	0.29	184	6.5	360	14.2	83.5
8	-80.9	88.35	0.01	14.1	2.4	360	5.8	87.6
9	-81.97	92.92	0.23	259.8	1.4	360	8.6	88.6
10	-83.01	101.57	0.11	261.6	46.5	7.7	5.6	43.5
11	-83.16	108.03	0.11	246.1	9.8	32.2	6.1	80.2
12	-83.42	119.53	0.13	123.7	19.8	14.6	5.1	70.2
13	-83.05	132.3	0.16	280	28.9	6.5	3.1	61.1
14	-82.64	139.4	0.09	292.7	38.3	13.2	8.3	51.7
15	-82.26	149.98	0.05	240.6	29.4	11.5	5.7	60.6
16	-81.47	159.39	0.26	216.1	14.7	40.6	12.3	75.3
17	-80.66	165.33	0.1	311.6	12.6	25.8	6	77.4
18	-78.94	176.72	0.26	233.9	19.9	360	20.3	70.1
19	-77.57	180.62	0.16	220.2	15.2	42.6	13.5	74.8
20	-76.86	182.55	0.13	144.5	4.2	360	13.9	85.8
21	-76.26	187.46	0.28	106.8	9.7	40	8.1	80.3
22	-72.6	183.68	0.2	97.1	8	360	15.8	82
23	-72.69	202.47	0.17	15	3.4	360	18.5	86.6
24	-71.5	204.21	0.09	71.7	7.5	360	17.7	82.5
25	-75.31	36.37	0.24	344.2	6.3	360	10.3	83.7
26	-75.99	36.08	0.22	84.7	8	30.8	4.7	82
27	-77.27	35.16	0.3	250.3	12.1	44.3	11.6	77.9
28	-77.96	34.46	0.17	62.4	9.9	360	10.8	80.1
29	-78.74	34.77	0.14	117.2	7.7	360	10	82.3
30	-79.18	32.83	0.26	11.7	30.3	13.1	6.7	59.7
31	-80.39	33.77	0.26	9.2	6	360	8.7	84
32	-81.14	29.36	0.22	208.4	3	360	5.6	87
33	-82.79	25.22	0.2	248.1	11.4	24.4	5.1	78.6
34	-84.3	19.6	0.24	228.6	7.9	37.3	6	82.1
35	-84.3	19.6	0.19	299.1	30.8	21.8	11.6	59.2
36	-85.17	16.2	0.15	156.2	12.7	29.4	7	77.3
37	-86.18	13.37	0.33	61.6	3.9	360	7.5	86.1
38	-86.98	10.75	0.09	95.4	3	360	7.8	87
39	-88.2	359.17	0.15	181.9	2.6	360	3	87.4
40	-88.71	342.38	0.13	44.3	3.7	360	5.3	86.3
41	-88.98	319.58	0.15	5.9	61.6	17.8	15.7	28.4
42	-88.77	276.04	0.03	101.6	4	360	8.7	86
43	-87.85	243.03	0.02	41.7	23.9	13.7	5.6	66.1
44	-86.09	233.59	0.08	44	21.3	17.4	6.5	68.7
45	-84	232.36	0.19	279.1	9.9	24.5	4.5	80.1
46	-83	231.81	0.09	119.9	5.1	360	6.2	84.9
47	-80.78	232.57	0.09	61.8	14.3	23.2	6	75.7
48	-79.02	231.91	0.18	246.6	13.9	37.6	10.5	76.1
49	-77.64	231.08	0.28	77.3	23.3	19.8	8.1	66.7
50	-75.72	230.81	0.43	234	12	360	15.5	78
51	-72.45	229.69	0.32	262.1	17.5	41.6	14.9	72.5
52	-71.38	228.85	0.33	46.9	13	360	14.3	77
53	-70.97	228.5	0.32	265.9	21	37.8	15.6	69
54	-77.71	19.53	0.41	254.2	5.7	360	9.4	84.3
55	-78.44	18.91	0.37	245.3	5.3	360	8.3	84.7
56	-79.49	18.04	0.31	205.1	2.2	360	9.1	87.8
57	-80.46	18.21	0.23	33.1	10.1	360	10.1	79.9
58	-81.71	18.72	0.17	42.3	11.5	38.7	9.1	78.5
59	-82.68	19.91	0.2	229	7.8	45.1	7.8	82.2
60	-75.96	350.89	0.33	182.9	11.2	360	39.8	78.8
61	-76.55	347.33	0.11	178.8	11.9	38.9	9.4	78.1
62	-77.27	342.63	0.16	181.3	10.9	42.7	9.9	79.1
63	-77.7	339.25	0.01	272.6	7.1	360	18.8	82.9
64	-78.07	335.83	0.11	358.7	5.7	360	6.9	84.3
65	-78.54	331.09	0.07	127.2	54.4	12.6	10.3	35.6
66	-78.68	327.48	0.36	339.2	24	17.8	7.5	66
67	-78.83	324.62	0.22	343	6.5	42.7	6	83.5
68	-79.54	318.08	0.23	72.5	4.4	360	7.5	85.6
69	-79.88	314.25	0.22	19.8	7	360	7.4	83
70	-80.22	308.07	0.15	38.5	5.4	360	5.6	84.6
